CNPJ da instituição financeira credenciada;CNPJ;Valor Contratado em R$ mil;N° de clientes;Navegação;CNPJ da instituição financeira credenciada - formatado;Ano;Município - Nome - Código;Última contratação;Fonte de recurso - tratada;Valor desembolsado tratado;Cliente;Custo financeiro;Data da contratação;Descrição do projeto;Fonte de recurso (desembolsos);Forma de apoio;Inovação;Instituição Financeira Credenciada;Instrumento financeiro;Juros;Modalidade de apoio;Município - código;Município;Natureza do cliente;Número de registros;Número do contrato;Porte do cliente;Prazo - amortização (meses);Prazo - carência (meses);Produto;Setor BNDES;Setor CNAE;Situação do contrato;Subsetor BNDES;Subsetor CNAE - código;Subsetor CNAE - nome;Subsetor CNAE agrupado;Tipo de garantia;UF - nome;UF;Valor contratado  R$;Valor desembolsado R$;Área Operacional
;13926639000144;6669,45;1;Clique na seta para retornar ao painel ;00.000.000/0000-00;2013;SALVADOR  -  2927408;12/06/2013;-;0;MONTE TABOR CENTRO ITALO BRASILEIRO DE PROM SANITARIA;SEM CUSTO;12/06/2013;DESENVOLVIMENTO DE PROTOCOLOS TERAPEUTICOS BASEADOS EM TERAPIAS CELULARES PARA O TRATAMENTO DE LESOES RAQUIMEDULARES DE DIVERSAS ORIGENS.;-;DIRETA;SIM;----------;FUNTEC;0;NÃO REEMBOLSÁVEL;2927408;SALVADOR;PRIVADA;1;12214481;GRANDE;0;0;BNDES NÃO REEMBOLSÁVEL;COMÉRCIO E SERVIÇOS;COMERCIO E SERVICOS;ATIVO;COMÉRCIO E SERVIÇOS;Q8660700;ATIVIDADES DE APOIO A GESTAO DE SAUDE;SAÚDE E SERV SOCIAL;NÃO SE APLICA;BAHIA;BA;6669450;0;AREA DE INDUSTRIA E SERVICOS 1
;8663733000118;12892,342;1;Clique na seta para retornar ao painel ;00.000.000/0000-00;2011;BELO HORIZONTE  -  3106200;18/01/2011;-;0;CENTRO DE INOVACOES CSEM BRASIL;SEM CUSTO;18/01/2011;DESENVOLVIMENTO DE SISTEMAS DESTINADOS A AGRICULTURA DE PRECISÃO, INCLUINDO INVESTIMENTOS NA ABSORÇÃO DE TECNOLOGIA, CAPACITAÇÃO DE PROFISSIONAS E CONSTITUIÇÃO E APARELHAMENTO DE UM LABORATORIO VOLTADO P/DESENVOLVIMENTO EM LTCC, NO AMBITO DO FUNDO TECNOLOGICO - FUNTEC.;-;DIRETA;SIM;----------;FUNTEC;0;NÃO REEMBOLSÁVEL;3106200;BELO HORIZONTE;PRIVADA;1;10219691;GRANDE;0;0;BNDES NÃO REEMBOLSÁVEL;COMÉRCIO E SERVIÇOS;COMERCIO E SERVICOS;ATIVO;COMÉRCIO E SERVIÇOS;M7210000;PESQUISA E DESENVOLVIMENTO EXPERIMENTAL CIENCIA FISICA E NATURAL;ATIV IMOBIL, PROFISSIONAL E ADM;NÃO SE APLICA;MINAS GERAIS;MG;12892342;0;AREA DE INDUSTRIA E SERVICOS 1
;74704008000175;9192,401;1;Clique na seta para retornar ao painel ;00.000.000/0000-00;2014;PORTO ALEGRE  -  4314902;13/11/2014;-;0;FUNDACAO DE APOIO DA UNIVERSIDADE FEDERAL DO RIO GRANDE;SEM CUSTO;13/11/2014;DESENVOLVIMENTO DE UM SISTEMA DIGITAL DE CONTROLE DISTRIBUIDO (SDCD), INCLUINDO O DESENVOLVIMENTO E PROTOTIPAGEM DE CIRCUITO INTEGRADO DE APLICACAO ESPECÍFICA (ASIC), E CONSTITUICAO DO LABORATORIO DE PESQUISAS EM AUTOMACAO INDUSTRIAL NA UNIVERSIDADE FED. DO RIO GRANDE DO SUL (UFRGS). BNDES-FUNTEC.;-;DIRETA;SIM;----------;FUNTEC;0;NÃO REEMBOLSÁVEL;4314902;PORTO ALEGRE;PRIVADA;1;13206461;GRANDE;0;0;BNDES NÃO REEMBOLSÁVEL;COMÉRCIO E SERVIÇOS;COMERCIO E SERVICOS;ATIVO;COMÉRCIO E SERVIÇOS;M7210000;PESQUISA E DESENVOLVIMENTO EXPERIMENTAL CIENCIA FISICA E NATURAL;ATIV IMOBIL, PROFISSIONAL E ADM;NÃO SE APLICA;RIO GRANDE DO SUL;RS;9192401;0;AREA DE INDUSTRIA E SERVICOS 1
;88630413000109;5327,623;1;Clique na seta para retornar ao painel ;00.000.000/0000-00;2007;PORTO ALEGRE  -  4314902;15/02/2007;-;0;UNIAO BRASILEIRA DE EDUCACAO E ASSISTENCIA;SEM CUSTO;15/02/2007;DESENVOLVIMENTO E INTEGRACAO DE CHIP TRI-SISTEMICO PARA MODULADORES UTILIZADOS NA TRANSMISSAO DE SINAIS DE TV DIGITAL ABERTA. O CHIP CONTERA 3 SISTEMAS DE MODULACAO PARA TRANSMISSAO DE TV DIGITAL: AMERICANO ATSC, EUROPEU DVB-T E JAPONES ISDB-T, ESTE ADOTADO PARA O SISTEMA BRASILEIRO.;-;DIRETA;SIM;----------;FUNTEC;0;NÃO REEMBOLSÁVEL;4314902;PORTO ALEGRE;PRIVADA;1;06211941;GRANDE;0;0;BNDES NÃO REEMBOLSÁVEL;COMÉRCIO E SERVIÇOS;COMERCIO E SERVICOS;ATIVO;COMÉRCIO E SERVIÇOS;P8532500;EDUCACAO SUPERIOR - GRADUACAO E POS-GRADUACAO;EDUCAÇÃO;NÃO SE APLICA;RIO GRANDE DO SUL;RS;5327623;0;AREA DE INDUSTRIA E SERVICOS 1
;88630413000109;4990,52499;1;Clique na seta para retornar ao painel ;00.000.000/0000-00;2007;PORTO ALEGRE  -  4314902;15/02/2007;-;0;UNIAO BRASILEIRA DE EDUCACAO E ASSISTENCIA;SEM CUSTO;15/02/2007;DESENVOLVIMENTO E INTEGRACAO DE CHIP TRI-SISTEMICO PARA MODULADORES UTILIZADOS NA TRANSMISSAO DE SINAIS DE TV DIGITAL ABERTA. O CHIP CONTERA 3 SISTEMAS DE MODULACAO PARA TRANSMISSAO DE TV DIGITAL: AMERICANO ATSC, EUROPEU DVB-T E JAPONES ISDB-T, ESTE ADOTADO PARA O SISTEMA BRASILEIRO.;-;DIRETA;SIM;----------;FUNTEC;0;NÃO REEMBOLSÁVEL;4314902;PORTO ALEGRE;PRIVADA;1;06211941;GRANDE;0;0;BNDES NÃO REEMBOLSÁVEL;COMÉRCIO E SERVIÇOS;COMERCIO E SERVICOS;ATIVO;COMÉRCIO E SERVIÇOS;P8532500;EDUCACAO SUPERIOR - GRADUACAO E POS-GRADUACAO;EDUCAÇÃO;NÃO SE APLICA;RIO GRANDE DO SUL;RS;4990524,99;0;AREA DE INDUSTRIA E SERVICOS 1
;5114927000176;2075,814;1;Clique na seta para retornar ao painel ;00.000.000/0000-00;2007;PORTO ALEGRE  -  4314902;15/02/2007;-;0;CENTRO DE EXCELENCIA EM TECNOLOGIA ELETRONICA AVANCADA;SEM CUSTO;15/02/2007;DESENVOLVIMENTO E INTEGRACAO DE CHIP TRI-SISTEMICO PARA MODULADORES UTILIZADOS NA TRANSMISSAO DE SINAIS DE TV DIGITAL ABERTA. O CHIP CONTERA 3 SISTEMAS DE MODULACAO PARA TRANSMISSAO DE TV DIGITAL: AMERICANO ATSC, EUROPEU DVB-T E JAPONES ISDB-T, ESTE ADOTADO PARA O SISTEMA BRASILEIRO.;-;DIRETA;SIM;----------;FUNTEC;0;NÃO REEMBOLSÁVEL;4314902;PORTO ALEGRE;PRIVADA;1;06211941;GRANDE;0;0;BNDES NÃO REEMBOLSÁVEL;COMÉRCIO E SERVIÇOS;COMERCIO E SERVICOS;ATIVO;COMÉRCIO E SERVIÇOS;P8532500;EDUCACAO SUPERIOR - GRADUACAO E POS-GRADUACAO;EDUCAÇÃO;NÃO SE APLICA;RIO GRANDE DO SUL;RS;2075814;0;AREA DE INDUSTRIA E SERVICOS 1
;5114927000176;2179,537;1;Clique na seta para retornar ao painel ;00.000.000/0000-00;2007;PORTO ALEGRE  -  4314902;15/02/2007;-;0;CENTRO DE EXCELENCIA EM TECNOLOGIA ELETRONICA AVANCADA;SEM CUSTO;15/02/2007;DESENVOLVIMENTO E INTEGRACAO DE CHIP TRI-SISTEMICO PARA MODULADORES UTILIZADOS NA TRANSMISSAO DE SINAIS DE TV DIGITAL ABERTA. O CHIP CONTERA 3 SISTEMAS DE MODULACAO PARA TRANSMISSAO DE TV DIGITAL: AMERICANO ATSC, EUROPEU DVB-T E JAPONES ISDB-T, ESTE ADOTADO PARA O SISTEMA BRASILEIRO.;-;DIRETA;SIM;----------;FUNTEC;0;NÃO REEMBOLSÁVEL;4314902;PORTO ALEGRE;PRIVADA;1;06211941;GRANDE;0;0;BNDES NÃO REEMBOLSÁVEL;COMÉRCIO E SERVIÇOS;COMERCIO E SERVICOS;ATIVO;COMÉRCIO E SERVIÇOS;P8532500;EDUCACAO SUPERIOR - GRADUACAO E POS-GRADUACAO;EDUCAÇÃO;NÃO SE APLICA;RIO GRANDE DO SUL;RS;2179537;0;AREA DE INDUSTRIA E SERVICOS 1
;61189445000156;25939;1;Clique na seta para retornar ao painel ;00.000.000/0000-00;2012;SAO PAULO  -  3550308;18/01/2012;-;0;FUNDACAO BUTANTAN;SEM CUSTO;18/01/2012;"DESENVOLVIMENTO DE VACINAS BCG RECOMBINANTE - PERTUSSIS,  NOVAS VACINAS CONTRA PERTUSSIS E NOVO PROCESSO PARA VACINA CONTRA HAEMOPHILUS INFLUENZAE B, COM RECURSOS  DO  BNDES  FUNDOTECNOLOGICO - BNDES FUNTEC.""";-;DIRETA;SIM;----------;FUNTEC;0;NÃO REEMBOLSÁVEL;3550308;SAO PAULO;PRIVADA;1;11203221;GRANDE;0;0;BNDES NÃO REEMBOLSÁVEL;COMÉRCIO E SERVIÇOS;COMERCIO E SERVICOS;ATIVO;COMÉRCIO E SERVIÇOS;Q8690999;OUTRA ATIV ATENCAO A SAUDE HUMANA NAO ESPECIFICADA ANTERIORMENTE;SAÚDE E SERV SOCIAL;NÃO SE APLICA;SAO PAULO;SP;25939000;0;AREA DE INDUSTRIA E SERVICOS 1
;8962306000130;4992;1;Clique na seta para retornar ao painel ;00.000.000/0000-00;2014;BRASILIA  -  5300108;20/03/2014;-;0;FUNDACAO DE APOIO A PESQUISA CIENTIFICA E TECNOLOGICA;SEM CUSTO;20/03/2014;APROVEITAMENTO DO POTENCIAL DE LIGNINAS PARA A OBTENCAO DE PRODUTOS QUIMICOS RENOVAVEIS (LIGNORENOV).;-;DIRETA;SIM;----------;FUNTEC;0;NÃO REEMBOLSÁVEL;5300108;BRASILIA;PRIVADA;1;13213421;GRANDE;0;0;BNDES NÃO REEMBOLSÁVEL;COMÉRCIO E SERVIÇOS;COMERCIO E SERVICOS;ATIVO;COMÉRCIO E SERVIÇOS;M7210000;PESQUISA E DESENVOLVIMENTO EXPERIMENTAL CIENCIA FISICA E NATURAL;ATIV IMOBIL, PROFISSIONAL E ADM;NÃO SE APLICA;DISTRITO FEDERAL;DF;4992000;0;AREA DE INDUSTRIA E SERVICOS 2
;68314830000127;12090,664;1;Clique na seta para retornar ao painel ;00.000.000/0000-00;2012;SEM MUNICÍPIO  -  0000000;18/06/2012;-;0;FUNDACAO DE APOIO A UNIVERSIDADE DE SAO PAULO;SEM CUSTO;18/06/2012;DESENVOLVIMENTO TECNOLOGICO DE PROCESSO PARA BIORREMEDIACAODE LAGOAS DE REJEITOS NO SETOR DE MINERACAO A PARTIR DA UTILIZACAO DE MICROORGANISMOS ADAPTADOS, COM RECURSOS DO BNDES FUNDO TECNOLOGICO - BNDES FUNTEC.;-;DIRETA;SIM;----------;FUNTEC;0;NÃO REEMBOLSÁVEL;0000000;SEM MUNICÍPIO;PRIVADA;1;11209341;GRANDE;0;0;BNDES NÃO REEMBOLSÁVEL;COMÉRCIO E SERVIÇOS;COMERCIO E SERVICOS;ATIVO;COMÉRCIO E SERVIÇOS;P8531700;EDUCACAO SUPERIOR - GRADUACAO;EDUCAÇÃO;NÃO SE APLICA;INTERESTADUAL;IE;12090664;0;AREA DE INDUSTRIA E SERVICOS 2
;18720938000141;17388,22591;1;Clique na seta para retornar ao painel ;00.000.000/0000-00;2014;BELO HORIZONTE  -  3106200;13/03/2014;-;0;FUNDACAO DE DESENVOLVIMENTO DA PESQUISA;SEM CUSTO;13/03/2014;IMPLANTACAO DO CENTRO DE TECNOLOGIA EM NANOTUBOS DE CARBONO - CTNANOTUBOS.;-;DIRETA;SIM;----------;FUNTEC;0;NÃO REEMBOLSÁVEL;3106200;BELO HORIZONTE;PRIVADA;1;13208131;GRANDE;0;0;BNDES NÃO REEMBOLSÁVEL;COMÉRCIO E SERVIÇOS;COMERCIO E SERVICOS;ATIVO;COMÉRCIO E SERVIÇOS;M7210000;PESQUISA E DESENVOLVIMENTO EXPERIMENTAL CIENCIA FISICA E NATURAL;ATIV IMOBIL, PROFISSIONAL E ADM;NÃO SE APLICA;MINAS GERAIS;MG;17388225,91;0;AREA DE INDUSTRIA E SERVICOS 2
;72060999000175;13539;1;Clique na seta para retornar ao painel ;00.000.000/0000-00;2011;RIO DE JANEIRO  -  3304557;12/07/2011;-;0;FUNDACAO COORDENACAO DE PROJETOS,PESQUISAS E ESTUDOS TE;SEM CUSTO;12/07/2011;DESENVOLVIMENTO DE PILHAS A COMBUSTIVEL DE OXIDO SOLIDO ALIMENTADAS PARA A GERACAO DISTRIBUIDA DE ENERGIA ELETRICA.;-;DIRETA;SIM;----------;FUNTEC;0;NÃO REEMBOLSÁVEL;3304557;RIO DE JANEIRO;PRIVADA;1;11203231;GRANDE;0;0;BNDES NÃO REEMBOLSÁVEL;COMÉRCIO E SERVIÇOS;COMERCIO E SERVICOS;ATIVO;COMÉRCIO E SERVIÇOS;M7210000;PESQUISA E DESENVOLVIMENTO EXPERIMENTAL CIENCIA FISICA E NATURAL;ATIV IMOBIL, PROFISSIONAL E ADM;NÃO SE APLICA;RIO DE JANEIRO;RJ;13539000;0;AREA DE INDUSTRIA E SERVICOS 2
;82662958000102;1685;1;Clique na seta para retornar ao painel ;00.000.000/0000-00;2008;BLUMENAU  -  4202404;07/07/2008;-;0;FUNDACAO UNIVERSIDADE REGIONAL DE BLUMENAU;SEM CUSTO;07/07/2008;INVEST. NO AMBITO DO FUNTEC PARA DESENVOLVIMENTO DE SOFTWARELIVRE P/GESTAO  DE  AGRONEGOCIO DE PEQUENO PORTE  E  CRIACAODE INTERFACES DE COMUNICACAO QUE PERMITAM A  COMERCIALIZACAOCOM USO EM MULTIPLAS PLATAFORMAS  DA SOLUCAO DE MANEJO E RASTREABILIDADE BOVINA.;-;DIRETA;SIM;----------;FUNTEC;0;NÃO REEMBOLSÁVEL;4202404;BLUMENAU;PÚBLICA INDIRETA;1;08201771;GRANDE;0;0;BNDES NÃO REEMBOLSÁVEL;COMÉRCIO E SERVIÇOS;COMERCIO E SERVICOS;ATIVO;COMÉRCIO E SERVIÇOS;J6203100;DESENVOLVIMENTO LICENCIAMENTO PROG COMPUTADOR NAO-CUSTOMIZAVEIS;INFORMAÇÃO E COMUNICAÇÃO;NÃO SE APLICA;SANTA CATARINA;SC;1685000;0;AREA DE INDUSTRIA E SERVICOS 1
;60633674000155;6748,733;1;Clique na seta para retornar ao painel ;00.000.000/0000-00;2012;SAO PAULO  -  3550308;17/01/2012;-;0;INSTITUTO DE PESQUISAS TECNOLOGICAS DO ESTADO DE SAO PA;SEM CUSTO;17/01/2012;DESENVOLVIMENTO DE SISTEMA PARA PROJETAR LIGAS PARA FERRAMENTAS DE CONFORMACAO A QUENTE, TENDO COMO BASE A SIMULACAO COMPUTACIONAL DO DANO PROGRESSIVO DAS FERRAMENTAS DURANTE O SERVICO E DA RELACAO DESSE DANO COM A MICROESTRUTURA DA LIGA.;-;DIRETA;SIM;----------;FUNTEC;0;NÃO REEMBOLSÁVEL;3550308;SAO PAULO;PÚBLICA INDIRETA;1;11207751;GRANDE;0;0;BNDES NÃO REEMBOLSÁVEL;COMÉRCIO E SERVIÇOS;COMERCIO E SERVICOS;ATIVO;COMÉRCIO E SERVIÇOS;M7210000;PESQUISA E DESENVOLVIMENTO EXPERIMENTAL CIENCIA FISICA E NATURAL;ATIV IMOBIL, PROFISSIONAL E ADM;NÃO SE APLICA;SAO PAULO;SP;6748733;0;AREA DE INDUSTRIA E SERVICOS 2
